ID;Author;Title;Creation_Data;Publisher;Source_Type;Link;Comment
-1;Undefined;Undefined;17.11.1998;Undefined;Undefined;Undefined;Undefined
0;Gregory P. Smith, David M. Golden, Michael Frenklach, Nigel W. Moriarty, Boris Eiteneer, Mikhail Goldenberg, C. Thomas Bowman, Ronald K. Hanson, Soonho Song, William C. Gardiner, Jr., Vitali V. Lissianski, and Zhiwei Qin;GRI-Mech 3.0;01.02.2000;The Combustion Laboratory at the University of California, Berkeley;Website;http://www.me.berkeley.edu/gri_mech/;
1;Prof. Forman A. Williams, Prof. Kalyanasundaram Seshadri and Prof. Robert Cattolica;Chemical-Kinetic Mechanisms for Combustion Applications;14.12.2016;Mechanical and Aerospace Engineering (Combustion Research), University of California at San Diego;Website;https://web.eng.ucsd.edu/mae/groups/combustion/mechanism.html;
